t_rel,phase_rec,trial_idx_rec,simulation_intensity_rec,simulation_intensity_pct_rec,mu_power_rec,beta_power_rec
5.2749,B,1,0.9634,0.9697,0.6421,0.6185
5.3529,B,1,0.9385,0.8806,0.7219,0.6458
5.431,B,1,0.904,0.8235,0.7693,0.6313
5.51,B,1,0.8893,0.8551,0.7611,0.6247
5.5889999999999995,B,1,0.8068,0.6143,0.8805,0.6645
5.666,B,1,0.7845,0.7324,0.837,0.6218
5.744,B,1,0.7616,0.7083,0.8457,0.6361
5.8231,B,1,0.7674,0.7808,0.8024,0.6284
5.9019,B,1,0.8047,0.8919,0.7269,0.617
5.9809,B,1,0.8313,0.8933,0.7064,0.6386
6.0599,B,1,0.8701,0.9605,0.6582,0.6345
6.1388,B,1,0.8974,0.961,0.6304,0.6548
6.2148,B,1,0.9166,0.9615,0.6366,0.6361
6.2938,B,1,0.9151,0.9114,0.6595,0.6458
6.3721,B,1,0.8918,0.8375,0.7105,0.6465
6.451,B,1,0.8465,0.7407,0.7716,0.6568
6.5301,B,1,0.7901,0.6585,0.8252,0.6401
6.609,B,1,0.7266,0.5783,0.8554,0.6438
6.6868,B,1,0.6764,0.5595,0.8699,0.6427
6.7653,B,1,0.6606,0.6235,0.843,0.6508
6.8443,B,1,0.6543,0.6395,0.8365,0.6465
6.9233,B,1,0.6718,0.7126,0.7898,0.6523
7.0033,B,1,0.7362,0.8864,0.6909,0.6378
7.0813,B,1,0.8119,0.9888,0.6157,0.6183
7.1603,B,1,0.8184,0.8333,0.6924,0.6672
7.2393,B,1,0.8531,0.9341,0.6373,0.6448
7.3165,B,1,0.8482,0.837,0.7005,0.6447
7.3953999999999995,B,1,0.8228,0.7634,0.7456,0.6288
7.4744,B,1,0.793,0.7234,0.7679,0.6303
7.5524,B,1,0.7351,0.6,0.8312,0.6417
7.6293,B,1,0.7114,0.6562,0.8147,0.609
7.7092,B,1,0.6836,0.6186,0.8354,0.6179
7.7872,B,1,0.6561,0.5918,0.8215,0.6519
7.8662,B,1,0.6895,0.7677,0.7524,0.6377
7.9455,B,1,0.7137,0.77,0.7379,0.6456
8.023900000000001,B,1,0.7847,0.9505,0.6471,0.619
8.1028,B,1,0.8258,0.9216,0.6379,0.645
8.1818,B,1,0.8722,0.9806,0.6187,0.6261
8.2598,B,1,0.9106,1.0,0.5936,0.6262
8.3388,B,1,0.926,0.9619,0.6318,0.6183
8.417900000000001,B,1,0.8944,0.8208,0.7009,0.6253
8.4968,B,1,0.8251,0.6636,0.7828,0.6167
8.5759,B,1,0.7498,0.5741,0.8239,0.6243
8.6553,B,1,0.6735,0.4954,0.8475,0.6357
8.7317,B,1,0.6596,0.6273,0.8098,0.6155
8.811100000000001,B,1,0.6753,0.7117,0.7749,0.6081
8.8902,B,1,0.6923,0.7321,0.7518,0.6286
8.968900000000001,B,1,0.7581,0.9115,0.6467,0.6266
9.046800000000001,B,1,0.8307,1.0,0.5916,0.6086
9.125900000000001,B,1,0.8815,1.0,0.5575,0.6044
9.205,B,1,0.9144,0.9914,0.5669,0.6195
9.2835,B,1,0.935,0.9829,0.5795,0.62
9.3626,B,1,0.9367,0.9407,0.6202,0.6214
9.4405,B,1,0.9002,0.8151,0.6836,0.6219
9.5196,B,1,0.8527,0.7417,0.72,0.6254
9.598500000000001,B,1,0.8076,0.7025,0.7564,0.5974
9.6758,B,1,0.7448,0.5984,0.809,0.6047
9.754600000000002,B,1,0.7263,0.6829,0.7588,0.6127
9.8337,B,1,0.7406,0.7742,0.7139,0.6165
9.912700000000001,B,1,0.7752,0.856,0.6651,0.6077
9.9907,B,1,0.8308,0.9603,0.6071,0.6136
10.0699,B,1,0.8792,0.9921,0.5648,0.6116
10.148800000000001,B,1,0.9131,0.9922,0.5558,0.6118
10.2248,B,1,0.9368,0.9922,0.5579,0.6055
10.3038,B,1,0.9419,0.9538,0.5883,0.6132
10.382800000000001,B,1,0.925,0.8855,0.6341,0.6154
10.4609,B,1,0.8793,0.7727,0.6949,0.6128
10.539700000000002,B,1,0.8073,0.6391,0.7502,0.6278
10.6186,B,1,0.7487,0.6119,0.767,0.6132
10.698,B,1,0.6974,0.5778,0.7765,0.6124
10.7756,B,1,0.6558,0.5588,0.7758,0.6217
10.853700000000002,B,1,0.6627,0.6788,0.7409,0.6194
10.9341,B,1,0.7074,0.8116,0.6722,0.6125
11.011700000000001,B,1,0.7757,0.9353,0.6044,0.6102
11.0907,B,1,0.8237,0.9357,0.597,0.6207
11.1697,B,1,0.866,0.9645,0.5695,0.6232
11.247900000000001,B,1,0.8914,0.9507,0.5821,0.6161
11.3269,B,1,0.8862,0.8741,0.6247,0.618
11.406,B,1,0.8537,0.7778,0.6739,0.6166
11.4847,B,1,0.7755,0.5931,0.7468,0.6395
11.563500000000001,B,1,0.6744,0.4384,0.8165,0.6355
11.6408,B,1,0.5884,0.3878,0.8434,0.6305
11.7194,B,1,0.5254,0.3784,0.8438,0.6359
11.7984,B,1,0.5047,0.4564,0.8127,0.6344
11.877500000000001,B,1,0.5373,0.6133,0.7454,0.6386
11.9564,B,1,0.5986,0.7417,0.6934,0.6222
12.035400000000001,B,1,0.6243,0.6842,0.7007,0.6564
12.1135,B,1,0.6958,0.8627,0.6335,0.6176
12.1927,B,1,0.7267,0.7987,0.6519,0.6453
12.271500000000001,B,1,0.7332,0.7484,0.6692,0.6496
12.350700000000002,B,1,0.6921,0.5962,0.7343,0.6573
12.429400000000001,B,1,0.5953,0.3694,0.8237,0.6668
12.5075,B,1,0.5002,0.2785,0.8737,0.673
12.586400000000001,B,1,0.4275,0.2579,0.9058,0.6632
12.663400000000001,B,1,0.3743,0.25,0.9087,0.665
12.7415,B,1,0.3328,0.236,0.9235,0.6631
12.820500000000001,B,1,0.3163,0.2778,0.8893,0.6682
12.899500000000002,B,1,0.3282,0.3558,0.8359,0.6644
12.9785,B,1,0.4254,0.6524,0.7215,0.6556
13.0576,B,1,0.4214,0.4121,0.7992,0.6963
13.1364,B,1,0.4269,0.4398,0.7813,0.7055
13.2155,B,1,0.4749,0.5868,0.7251,0.6884
13.293500000000002,B,1,0.4342,0.3393,0.8144,0.7094
13.3725,B,1,0.4353,0.4379,0.8013,0.6745
13.451400000000001,B,1,0.3841,0.2647,0.8819,0.6835
13.5304,B,1,0.3321,0.2105,0.9227,0.6911
13.6067,B,1,0.3092,0.2558,0.9088,0.6604
13.685500000000001,B,1,0.2771,0.2023,0.9433,0.6817
13.764000000000001,B,1,0.2543,0.2011,0.9519,0.6904
13.843100000000002,B,1,0.2466,0.2286,0.9076,0.7046
13.920100000000001,B,1,0.2681,0.3182,0.8484,0.6991
13.9991,B,1,0.3182,0.435,0.8002,0.6938
14.077100000000002,B,1,0.3828,0.5337,0.7713,0.6797
14.1559,B,1,0.4456,0.5922,0.7263,0.6979
14.234900000000001,B,1,0.5253,0.7111,0.6942,0.6696
14.3139,B,1,0.5318,0.547,0.7651,0.6665
14.391800000000002,B,1,0.4711,0.3297,0.8381,0.6928
14.4709,B,1,0.4216,0.306,0.8672,0.678
14.549900000000001,B,1,0.3685,0.2446,0.9041,0.6807
14.6278,B,1,0.339,0.2703,0.9099,0.6498
14.706800000000001,B,1,0.3034,0.2204,0.9281,0.6668
14.7863,B,1,0.3087,0.3209,0.8757,0.6551
14.865200000000002,B,1,0.3118,0.3191,0.8717,0.6646
14.9433,B,1,0.3072,0.2963,0.8654,0.6961
15.038200000000002,A,2,0.3855,0.5684,0.756,0.6732
15.117400000000002,A,2,0.4348,0.5497,0.7614,0.6923
15.1963,A,2,0.5122,0.6927,0.7142,0.6688
15.2743,A,2,0.5046,0.487,0.7761,0.7034
15.3544,A,2,0.4429,0.299,0.8533,0.7126
15.433300000000001,A,2,0.4239,0.3795,0.8269,0.6851
15.512400000000001,A,2,0.3748,0.2602,0.8871,0.6964
15.590300000000001,A,2,0.3233,0.203,0.9323,0.663
15.6684,A,2,0.2808,0.1818,0.9581,0.6778
15.746400000000001,A,2,0.2524,0.1859,0.9487,0.6889
15.8244,A,2,0.2367,0.2,0.9305,0.6796
15.9044,A,2,0.2716,0.3532,0.8438,0.6934
15.983400000000001,A,2,0.3179,0.4257,0.812,0.6936
16.060399999999998,A,2,0.3732,0.5025,0.7914,0.6825
16.1394,A,2,0.4216,0.5343,0.7721,0.6899
16.2183,A,2,0.4868,0.639,0.7364,0.6754
16.2964,A,2,0.4485,0.3592,0.8269,0.7145
16.3755,A,2,0.4285,0.3816,0.8256,0.6947
16.4544,A,2,0.3504,0.1683,0.945,0.7093
16.5334,A,2,0.2955,0.1675,0.9635,0.6985
16.6114,A,2,0.2354,0.0952,1.0488,0.7272
16.6903,A,2,0.2217,0.1896,0.9559,0.6796
16.769099999999998,A,2,0.1863,0.1038,1.0246,0.7485
16.847099999999998,A,2,0.1572,0.0892,1.0489,0.7374
16.9266,A,2,0.1717,0.2056,0.9222,0.7291
17.005599999999998,A,2,0.1955,0.2512,0.8876,0.7349
17.084699999999998,A,2,0.223,0.287,0.8641,0.7411
17.162699999999997,A,2,0.2211,0.2166,0.896,0.7478
17.2427,A,2,0.2373,0.2752,0.8768,0.7295
17.3207,A,2,0.2113,0.1507,0.9617,0.7494
17.3996,A,2,0.1861,0.1273,0.9855,0.7554
17.4786,A,2,0.1425,0.0407,1.0899,0.7752
17.5567,A,2,0.1362,0.1216,1.0165,0.7244
17.6357,A,2,0.1115,0.0538,1.0895,0.7408
17.7148,A,2,0.0794,0.0045,1.1832,0.819
17.7939,A,2,0.0769,0.0711,1.0766,0.7591
17.8727,A,2,0.0645,0.0354,1.0955,0.7893
17.950799999999997,A,2,0.0636,0.0617,1.0544,0.8055
18.0287,A,2,0.0748,0.1009,1.0216,0.7967
18.1088,A,2,0.0943,0.1397,0.9905,0.7885
18.1878,A,2,0.0934,0.0913,1.0207,0.8194
18.2668,A,2,0.1199,0.1818,0.959,0.7686
18.3448,A,2,0.1085,0.0819,1.0485,0.8067
18.424799999999998,A,2,0.085,0.03,1.1094,0.7866
18.503899999999998,A,2,0.062,0.0085,1.1522,0.8094
18.581799999999998,A,2,0.046,0.0085,1.1842,0.8133
18.660899999999998,A,2,0.036,0.0127,1.1743,0.8101
18.738899999999997,A,2,0.0265,0.0042,1.1989,0.8132
18.8168,A,2,0.0337,0.0504,1.1126,0.7785
18.8939,A,2,0.0336,0.0335,1.1226,0.8134
18.9728,A,2,0.0798,0.1875,0.987,0.7636
19.0508,A,2,0.0982,0.1411,1.0196,0.7967
19.1309,A,2,0.1419,0.2438,0.9363,0.7588
19.209899999999998,A,2,0.1623,0.2099,0.9634,0.7889
19.288899999999998,A,2,0.1812,0.2254,0.9593,0.757
19.366899999999998,A,2,0.1611,0.1143,1.0535,0.7795
19.4468,A,2,0.1774,0.2154,0.9888,0.7406
19.5249,A,2,0.1582,0.1134,1.0666,0.7651
19.6038,A,2,0.1216,0.0363,1.1405,0.7791
19.682499999999997,A,2,0.1092,0.0803,1.1088,0.7391
19.7604,A,2,0.1341,0.192,1.0202,0.7294
19.8385,A,2,0.1524,0.1952,1.0118,0.7432
19.9179,A,2,0.2293,0.4087,0.8747,0.6957
19.997,A,2,0.2696,0.3636,0.8821,0.7232
20.0898,B,2,0.3399,0.5039,0.8095,0.7178
20.186,B,2,0.4132,0.5843,0.783,0.7059
20.2639,B,2,0.451,0.5391,0.8033,0.7041
20.3436,B,2,0.4488,0.4436,0.8486,0.706
20.421499999999998,B,2,0.4374,0.4109,0.8745,0.6886
20.5015,B,2,0.444,0.4595,0.8695,0.6557
20.5797,B,2,0.4031,0.3077,0.9388,0.6812
20.659499999999998,B,2,0.3707,0.295,0.952,0.6826
20.7376,B,2,0.3488,0.2977,0.9476,0.6862
20.8158,B,2,0.3559,0.3726,0.9061,0.6763
20.8931,B,2,0.3662,0.3902,0.892,0.6906
20.973,B,2,0.425,0.5623,0.8151,0.6815
21.051,B,2,0.4881,0.6353,0.7786,0.6824
21.131,B,2,0.5473,0.6854,0.7448,0.6918
21.209,B,2,0.5947,0.7052,0.7321,0.6917
21.2871,B,2,0.6181,0.6729,0.7598,0.6765
21.365,B,2,0.6382,0.6852,0.7617,0.6553
21.4443,B,2,0.6029,0.5203,0.8332,0.6658
21.5243,B,2,0.5477,0.4191,0.8843,0.6597
21.6023,B,2,0.4713,0.293,0.942,0.6846
21.6818,B,2,0.4493,0.3978,0.9023,0.6504
21.7619,B,2,0.417,0.3418,0.9197,0.6698
21.8398,B,2,0.443,0.5036,0.8431,0.658
21.9199,B,2,0.5116,0.6715,0.7788,0.6531
21.997899999999998,B,2,0.5793,0.7374,0.7389,0.6644
22.0748,B,2,0.6593,0.8459,0.6801,0.6515
22.1541,B,2,0.7133,0.8393,0.6808,0.6566
22.2318,B,2,0.7523,0.8434,0.6815,0.6547
22.308799999999998,B,2,0.7256,0.6631,0.7651,0.6778
22.388099999999998,B,2,0.6849,0.5901,0.7991,0.6723
22.465899999999998,B,2,0.621,0.4718,0.8509,0.6612
22.5458,B,2,0.5105,0.2526,0.9606,0.6875
22.6239,B,2,0.4559,0.3287,0.9159,0.6831
22.703799999999998,B,2,0.4059,0.2892,0.9443,0.6735
22.7818,B,2,0.4019,0.3924,0.8926,0.6694
22.8619,B,2,0.4048,0.4118,0.8699,0.689
22.9389,B,2,0.4427,0.531,0.819,0.6869
23.0189,B,2,0.5449,0.7835,0.7237,0.6536
23.096899999999998,B,2,0.6198,0.7945,0.7148,0.6619
23.177,B,2,0.6561,0.7406,0.7355,0.6686
23.2551,B,2,0.7062,0.8231,0.6897,0.6683
23.3336,B,2,0.6987,0.6814,0.7606,0.6588
23.4132,B,2,0.6655,0.5878,0.8052,0.6619
23.4913,B,2,0.6012,0.4512,0.8573,0.67
23.571199999999997,B,2,0.5205,0.3322,0.9084,0.6787
23.6492,B,2,0.4506,0.2876,0.9362,0.6792
23.7273,B,2,0.3884,0.2433,0.953,0.7012
23.8062,B,2,0.3749,0.3433,0.9019,0.6851
23.885199999999998,B,2,0.4354,0.5767,0.8103,0.6634
23.9632,B,2,0.4868,0.6067,0.7889,0.6815
24.0432,B,2,0.5588,0.7267,0.7391,0.6679
24.121199999999998,B,2,0.6151,0.7467,0.7317,0.6698
24.199199999999998,B,2,0.6926,0.8733,0.6598,0.6559
24.276999999999997,B,2,0.7358,0.8367,0.6849,0.6527
24.3549,B,2,0.7401,0.75,0.7327,0.6608
24.435,B,2,0.687,0.5633,0.8081,0.662
24.5128,B,2,0.6129,0.44,0.8675,0.6463
24.5927,B,2,0.5501,0.4033,0.8837,0.6517
24.6697,B,2,0.493,0.36,0.9007,0.6525
24.7468,B,2,0.4641,0.3967,0.8796,0.6618
24.8247,B,2,0.4829,0.5267,0.8353,0.6404
24.9047,B,2,0.538,0.6667,0.7728,0.6393
24.982799999999997,B,2,0.6246,0.8267,0.6967,0.6438
25.063299999999998,B,2,0.7072,0.9,0.6407,0.6482
25.1407,B,2,0.7821,0.9567,0.5973,0.6265
25.2207,B,2,0.8274,0.9333,0.6237,0.6209
25.298099999999998,B,2,0.8652,0.9533,0.6072,0.6105
25.3771,B,2,0.8786,0.91,0.6447,0.6194
25.456799999999998,B,2,0.8471,0.7733,0.7247,0.6271
25.5348,B,2,0.8149,0.74,0.7514,0.621
25.6127,B,2,0.7565,0.62,0.8014,0.6103
25.6909,B,2,0.6985,0.5633,0.8169,0.6286
25.770699999999998,B,2,0.672,0.61,0.7938,0.6313
25.849,B,2,0.7084,0.7933,0.7177,0.6191
25.9268,B,2,0.7529,0.8567,0.6761,0.6188
26.0059,B,2,0.817,0.9667,0.5966,0.6134
26.084799999999998,B,2,0.8659,0.98,0.5754,0.6165
26.1629,B,2,0.9021,0.9867,0.5646,0.6237
26.2428,B,2,0.9195,0.96,0.5827,0.6284
26.3208,B,2,0.9356,0.9733,0.5725,0.6227
26.4009,B,2,0.924,0.8967,0.6418,0.6101
26.477899999999998,B,2,0.8728,0.7533,0.7262,0.6159
26.555799999999998,B,2,0.8249,0.7133,0.7552,0.606
26.6349,B,2,0.7785,0.67,0.7631,0.6184
26.712799999999998,B,2,0.7509,0.6867,0.7579,0.6153
26.7928,B,2,0.7266,0.67,0.7626,0.6163
26.8708,B,2,0.7517,0.81,0.6985,0.62
26.9498,B,2,0.7862,0.8667,0.6563,0.6149
27.0279,B,2,0.8463,0.9867,0.5646,0.6166
27.1059,B,2,0.8924,1.0,0.5427,0.6281
27.182499999999997,B,2,0.9247,1.0,0.5459,0.6094
27.2611,B,2,0.9353,0.96,0.5762,0.6187
27.3401,B,2,0.9327,0.9267,0.6061,0.6082
27.4183,B,2,0.9029,0.8333,0.6688,0.6163
27.4983,B,2,0.854,0.74,0.7192,0.6168
27.5763,B,2,0.7738,0.5867,0.7711,0.6242
27.6552,B,2,0.7187,0.59,0.7774,0.6102
27.7346,B,2,0.6601,0.5233,0.799,0.6256
27.8117,B,2,0.67,0.6933,0.7471,0.6129
27.891399999999997,B,2,0.707,0.7933,0.6919,0.6291
27.9712,B,2,0.7559,0.87,0.6409,0.6274
28.0493,B,2,0.7931,0.88,0.636,0.6135
28.1293,B,2,0.8372,0.94,0.5881,0.6252
28.2062,B,2,0.886,1.0,0.5445,0.6087
28.2853,B,2,0.8922,0.9067,0.6043,0.6287
28.3634,B,2,0.8606,0.7867,0.6838,0.6282
28.4434,B,2,0.8074,0.6833,0.7422,0.6198
28.5214,B,2,0.7422,0.59,0.7667,0.6228
28.6018,B,2,0.6495,0.4333,0.8279,0.634
28.679399999999998,B,2,0.6007,0.4867,0.8125,0.6275
28.7574,B,2,0.5445,0.4133,0.8304,0.646
28.836299999999998,B,2,0.5311,0.5,0.8039,0.6288
28.915,B,2,0.5808,0.6967,0.7268,0.6464
28.994799999999998,B,2,0.6236,0.7233,0.716,0.6351
29.0747,B,2,0.6865,0.8333,0.6553,0.6375
29.153,B,2,0.7415,0.87,0.6283,0.643
29.232599999999998,B,2,0.7501,0.77,0.6857,0.6472
29.308999999999997,B,2,0.7641,0.7967,0.6788,0.6313
29.3879,B,2,0.7368,0.6733,0.732,0.6386
29.468,B,2,0.6278,0.3733,0.8327,0.6628
29.5455,B,2,0.5445,0.35,0.8443,0.6583
29.6236,B,2,0.4751,0.3133,0.8844,0.6354
29.7011,B,2,0.4016,0.23,0.9171,0.6558
29.779,B,2,0.3731,0.3067,0.8804,0.6511
29.858999999999998,B,2,0.3902,0.43,0.8207,0.658
29.936999999999998,B,2,0.4531,0.6,0.7522,0.6527
30.016,B,2,0.5282,0.7033,0.7244,0.6515
30.1089,A,3,0.6097,0.8,0.6646,0.6658
30.188,A,3,0.6648,0.7933,0.6623,0.6784
30.267,A,3,0.6374,0.5733,0.7377,0.6876
30.3461,A,3,0.6102,0.5467,0.7617,0.6647
30.425,A,3,0.6091,0.6067,0.7564,0.6385
30.503999999999998,A,3,0.5714,0.4833,0.8055,0.6434
30.583,A,3,0.477,0.2567,0.9069,0.6515
30.662,A,3,0.4049,0.2367,0.9121,0.6577
30.739,A,3,0.3334,0.1667,0.9412,0.6794
30.817999999999998,A,3,0.3344,0.3367,0.8686,0.6575
30.897,A,3,0.3951,0.5367,0.7804,0.6504
30.975099999999998,A,3,0.5046,0.76,0.7074,0.6361
31.054,A,3,0.6122,0.8633,0.6375,0.6338
31.133399999999998,A,3,0.7045,0.92,0.602,0.6154
31.2121,A,3,0.7442,0.8367,0.6424,0.6529
31.2911,A,3,0.7649,0.8133,0.6667,0.636
31.3691,A,3,0.7064,0.57,0.7571,0.6613
31.4486,A,3,0.7085,0.7133,0.7308,0.6175
31.5278,A,3,0.602,0.3533,0.8633,0.6538
31.6066,A,3,0.5314,0.3667,0.8552,0.6472
31.683999999999997,A,3,0.489,0.39,0.8533,0.6356
31.763099999999998,A,3,0.4733,0.4367,0.8333,0.6363
31.8421,A,3,0.4933,0.54,0.7876,0.6372
31.9216,A,3,0.5373,0.64,0.7396,0.6618
31.998699999999996,A,3,0.5811,0.6833,0.73,0.6622
32.077600000000004,A,3,0.6388,0.7733,0.6926,0.6502
32.156800000000004,A,3,0.7071,0.8667,0.6352,0.6451
32.235600000000005,A,3,0.755,0.8667,0.632,0.6463
32.3147,A,3,0.7315,0.6767,0.7308,0.6603
32.392900000000004,A,3,0.6851,0.5767,0.7592,0.6514
32.470000000000006,A,3,0.5915,0.3733,0.8502,0.6483
32.548100000000005,A,3,0.5171,0.3433,0.8644,0.659
32.627100000000006,A,3,0.426,0.2133,0.919,0.6629
32.706,A,3,0.3862,0.2933,0.8916,0.6561
32.784200000000006,A,3,0.3163,0.1533,0.9448,0.6948
32.8631,A,3,0.3114,0.3,0.8775,0.678
32.9421,A,3,0.34,0.4067,0.8232,0.692
33.021100000000004,A,3,0.399,0.5367,0.769,0.6821
33.100100000000005,A,3,0.4813,0.6733,0.724,0.6775
33.179100000000005,A,3,0.5739,0.79,0.6825,0.6644
33.2561,A,3,0.5447,0.4767,0.7903,0.6947
33.3352,A,3,0.4913,0.3667,0.841,0.6963
33.4142,A,3,0.4499,0.3533,0.8442,0.7013
33.4924,A,3,0.3629,0.16,0.9403,0.6974
33.571400000000004,A,3,0.2941,0.1333,0.9525,0.6964
33.650400000000005,A,3,0.2258,0.0667,1.0712,0.7211
33.729400000000005,A,3,0.1921,0.1133,1.0033,0.7097
33.807300000000005,A,3,0.1695,0.1167,0.9882,0.7326
33.8845,A,3,0.1496,0.1033,0.9966,0.7388
33.9634,A,3,0.1777,0.2433,0.8839,0.7223
34.0403,A,3,0.1874,0.21,0.8961,0.7409
34.1195,A,3,0.1722,0.1367,0.9222,0.7777
34.1983,A,3,0.1865,0.22,0.8867,0.7464
34.2753,A,3,0.1916,0.2033,0.9032,0.7454
34.3545,A,3,0.1711,0.1233,0.963,0.7632
34.4333,A,3,0.1458,0.0867,1.0071,0.769
34.5123,A,3,0.11,0.0267,1.1118,0.7851
34.591300000000004,A,3,0.085,0.0267,1.1247,0.7795
34.6704,A,3,0.0675,0.0267,1.1295,0.7718
34.749500000000005,A,3,0.0533,0.02,1.148,0.7911
34.8284,A,3,0.0483,0.0367,1.1236,0.7715
34.907000000000004,A,3,0.0488,0.05,1.0961,0.8013
34.986000000000004,A,3,0.0652,0.1033,1.0104,0.7881
35.065000000000005,A,3,0.1386,0.31,0.8758,0.7289
35.1589,B,3,0.151,0.18,0.9067,0.7806
35.2391,B,3,0.1397,0.1133,0.975,0.817
35.319100000000006,B,3,0.1368,0.13,0.9847,0.7751
35.3973,B,3,0.1228,0.09,1.0301,0.7818
35.4772,B,3,0.1019,0.0533,1.1075,0.7789
35.554500000000004,B,3,0.0834,0.04,1.1208,0.7696
35.6327,B,3,0.0723,0.0467,1.1243,0.761
35.7107,B,3,0.0526,0.0067,1.1926,0.8107
35.788700000000006,B,3,0.0539,0.0567,1.1145,0.7753
35.866800000000005,B,3,0.0597,0.0733,1.0947,0.7792
35.944700000000005,B,3,0.0728,0.1033,1.0469,0.7807
36.0247,B,3,0.111,0.2,0.9362,0.7568
36.1028,B,3,0.1617,0.28,0.8982,0.7466
36.182700000000004,B,3,0.1982,0.2833,0.8959,0.7504
36.2607,B,3,0.2287,0.3,0.8932,0.7408
36.3388,B,3,0.2741,0.38,0.874,0.7146
36.416000000000004,B,3,0.2479,0.1867,0.9765,0.7383
36.495000000000005,B,3,0.2245,0.17,1.0013,0.7247
36.573,B,3,0.1822,0.0833,1.0959,0.7562
36.651,B,3,0.1815,0.18,1.0041,0.7136
36.730900000000005,B,3,0.1531,0.0867,1.0918,0.7485
36.809000000000005,B,3,0.1711,0.2133,0.9863,0.7009
36.8891,B,3,0.1888,0.23,0.9507,0.7098
36.967000000000006,B,3,0.2012,0.23,0.9335,0.7522
37.047000000000004,B,3,0.2718,0.4367,0.8577,0.7157
37.125,B,3,0.3953,0.6833,0.7522,0.6896
37.203,B,3,0.4697,0.6433,0.7673,0.6859
37.283100000000005,B,3,0.4718,0.4767,0.839,0.716
37.3611,B,3,0.4342,0.3467,0.8852,0.7311
37.441100000000006,B,3,0.377,0.2433,0.9466,0.7105
